# (1)Mode,(2)ID,(3)IDnc,(4)era5,(5)Full,(6)Units

# DOWNLOADABLE ERA5 PRESSURE VARIABLES
dpre,div,d,divergence,Divergence,s^{-1}
dpre,pvort,pv,potential_vorticity,Potential Vorticity,K m^{-2} kg^{-1} s^{-1}
dpre,rvort,vo,vorticity,Vorticity (Relative),s^{-1}
dpre,u_air,u,u_component_of_wind,Zonal Wind,m s^{-1}
dpre,v_air,v,v_component_of_wind,Meridional Wind,m s^{-1}
dpre,w_air,w,vertical_velocity,Vertical Wind,m s^{-1}
dpre,t_air,t,temperature,Air Temperature,K
dpre,z_air,z,geopotential,Geopotential,m^2 s^{-2}
dpre,rhum,r,relative_humidity,Relative Humidity,%%
dpre,shum,q,specific_humidity,Specific Humidity,kg kg^{-1}
dpre,cld_air,cc,fraction_of_cloud_cover,Cloud Cover Fraction,%%
dpre,cld_ice,cc,specific_cloud_ice_water_content,Cloud Cover Fraction,%%
dpre,cld_lqd,cc,specific_cloud_liquid_water_content,Cloud Cover Fraction,%%
dpre,rain_air,cc,specific_rain_water_content,Cloud Cover Fraction,%%
dpre,snow_air,cc,specific_snow_ice_water_content,Cloud Cover Fraction,%%

# DOWNLOADABLE ERA5 SURFACE (TEMPERATURE & PRESSURE) VARIABLES
dsfc,t_sfc,t2m,2m_temperature,Surface Temperature,K
dsfc,t_sst,sst,sea_surface_temperature,Sea Surface Temperature,K
dsfc,t_dew,d2m,2m_dewpoint_temperature,Surface Dewpoint Temperature,K
dsfc,p_sfc,sp,surface_pressure,Surface Pressure,hPa
dsfc,p_msl,msl,mean_sea_level_pressure,Sea Level Pressure,hPa

# DOWNLOADABLE ERA5 SURFACE (WIND) VARIABLES
dsfc,u_sfc,u10,10m_u_component_of_wind,Surface u-Wind,m s^{-1}
dsfc,v_sfc,v10,10m_v_component_of_wind,Surface v-Wind,m s^{-1}
dsfc,z_sfc,z,orography,129.128,Orography Geopotential,m^2 s^{-2}

# DOWNLOADABLE ERA5 SURFACE (PRECIPITATION) VARIABLES
dsfc,prcp_tot,tp,total_precipitation,Total Precipitation,m
dsfc,prcp_conv,cp,convective_precipitation,Convective Precipitation,m
dsfc,prcp_ls,lsp,large_scale_precipitation,Large-Scale Precipitation,m
dsfc,snow_tot,tp,snowfall,Total Precipitation,m
dsfc,snow_conv,cp,convective_snowfall,Convective Snowfall,m
dsfc,snow_ls,lsp,large_scale_snowfall,Large-Scale Snowfall,m
dsfc,tcw,tcw,total_column_water,Total Column Water,kg m^{-2}
dsfc,tcwv,tcwv,total_column_water_vapour,Column Water Vapour,kg m^{-2}
dsfc,tcrw,tcwv,total_column_rain_water,Column Rain Water,kg m^{-2}
dsfc,tcsw,tcwv,total_column_snow_water,Column Snow Water,kg m^{-2}

# DOWNLOADABLE ERA5 SURFACE (CLOUDS & CONVECTION) VARIABLES
dsfc,cld_tot,cc,total_cloud_cover,Total Cloud Cover,%%
dsfc,cld_low,cc,low_cloud_cover,Low Cloud Cover,%%
dsfc,cld_med,cc,medium_cloud_cover,Medium Cloud Cover,%%
dsfc,cld_hgh,cc,high_cloud_cover,High Cloud Cover,%%
dsfc,tclw,tcwv,total_column_cloud_liquid_water,Cloud Liquid Water,kg m^{-2}
dsfc,tciw,tcwv,total_column_cloud_ice_water,Cloud Ice Water,kg m^{-2}
dsfc,cape,cape,convective_available_potential_energy,CAPE,J kg^{-1}

# DOWNLOADABLE ERA5 SURFACE (RADIATION) VARIABLES
dsfc,cld_tot,cc,total_cloud_cover,Total Cloud Cover,%%
dsfc,cld_low,cc,low_cloud_cover,Low Cloud Cover,%%
dsfc,cld_med,cc,medium_cloud_cover,Medium Cloud Cover,%%
dsfc,cld_hgh,cc,high_cloud_cover,High Cloud Cover,%%
dsfc,tclw,tcwv,total_column_cloud_liquid_water,Cloud Liquid Water,kg m^{-2}
dsfc,tciw,tcwv,total_column_cloud_ice_water,Cloud Ice Water,kg m^{-2}
dsfc,cape,cape,convective_available_potential_energy,CAPE,J kg^{-1}

# ANALYSIS-ONLY ERA5 SURFACE VARIABLES (v1.0)
asfc,troph,NA,NA,Tropopause Height,m
asfc,gtrop,NA,NA,Tropopause Height Gradient,m d^{-1}
asfc,t_mwv,NA,NA,Water Vapour Weighted Column Temperature,K
asfc,eke,NA,NA,Eddy Intensity,m^2 s^{-2}

# ANALYSIS-ONLY ERA5 PRESSURE VARIABLES (v1.0)
apre,psi_u,NA,NA,Zonal Streamfunction,kg s^{-1}
apre,psi_v,NA,NA,Meridional Streamfunction,kg s^{-1}
apre,psi_h,NA,NA,Horizontal Streamfunction,kg s^{-1}
apre,flux_uv,NA,NA,Eddy Momentum Flux,m^2 s^{-2}
apre,flux_uT,NA,NA,Zonal Heat Flux,K m s^{-1}
apre,flux_vT,NA,NA,Poleward Heat Flux,K m s^{-1}
apre,flux_uq,NA,NA,Zonal Moisture Flux,K m s^{-1}
apre,flux_vq,NA,NA,Poleward Moisture Flux,K m s^{-1}
apre,chi,NA,NA,Velocity Potential,s^{-1}

# USER-ADDED ERA5 VARIABLES (v1.0)
